Input Path,Ground-Truth
BraTS-Path/BraTS-Path2025-Train-2-JPG/Validation-Data-384-Collated-JPG/CT/BraTSPath_CT_0007553.jpg,CT
BraTS-Path/New-Data-384-Collated-JPG/CT/BraTSPath_CT_0009634.jpg,CT
BraTS-Path/New-Data-384-Collated-JPG/CT/BraTSPath_CT_0187217.jpg,CT
BraTS-Path/New-Data-384-Collated-JPG/CT/BraTSPath_CT_0248201.jpg,CT
BraTS-Path/BraTS-Path2025-Train-2-JPG/Validation-Data-384-Collated-JPG/CT/BraTSPath_CT_0079679.jpg,CT
BraTS-Path/New-Data-384-Collated-JPG/CT/BraTSPath_CT_0108215.jpg,CT
BraTS-Path/New-Data-384-Collated-JPG/CT/BraTSPath_CT_0100381.jpg,CT
BraTS-Path/New-Data-384-Collated-JPG/CT/BraTSPath_CT_0138165.jpg,CT
BraTS-Path/New-Data-384-Collated-JPG/CT/BraTSPath_CT_0101340.jpg,CT
BraTS-Path/BraTS-Path2025-Train-2-JPG/Validation-Data-384-Collated-JPG/CT/BraTSPath_CT_0016422.jpg,CT
BraTS-Path/New-Data-384-Collated-JPG/CT/BraTSPath_CT_0228792.jpg,CT
BraTS-Path/New-Data-384-Collated-JPG/CT/BraTSPath_CT_0112985.jpg,CT
BraTS-Path/New-Data-384-Collated-JPG/CT/BraTSPath_CT_0132075.jpg,CT
BraTS-Path/New-Data-384-Collated-JPG/CT/BraTSPath_CT_0101833.jpg,CT
BraTS-Path/New-Data-384-Collated-JPG/CT/BraTSPath_CT_0181684.jpg,CT
BraTS-Path/New-Data-384-Collated-JPG/CT/BraTSPath_CT_0184358.jpg,CT
BraTS-Path/BraTS-Path2025-Train-2-JPG/Validation-Data-384-Collated-JPG/CT/BraTSPath_CT_0073812.jpg,CT
BraTS-Path/New-Data-384-Collated-JPG/CT/BraTSPath_CT_0016271.jpg,CT
BraTS-Path/New-Data-384-Collated-JPG/CT/BraTSPath_CT_0123271.jpg,CT
BraTS-Path/New-Data-384-Collated-JPG/CT/BraTSPath_CT_0236820.jpg,CT
BraTS-Path/New-Data-384-Collated-JPG/CT/BraTSPath_CT_0148571.jpg,CT
BraTS-Path/BraTS-Path2025-Train-2-JPG/Validation-Data-384-Collated-JPG/CT/BraTSPath_CT_0074327.jpg,CT
BraTS-Path/New-Data-384-Collated-JPG/CT/BraTSPath_CT_0135169.jpg,CT
BraTS-Path/New-Data-384-Collated-JPG/CT/BraTSPath_CT_0116221.jpg,CT
BraTS-Path/New-Data-384-Collated-JPG/CT/BraTSPath_CT_0128552.jpg,CT
BraTS-Path/New-Data-384-Collated-JPG/CT/BraTSPath_CT_0221160.jpg,CT
BraTS-Path/New-Data-384-Collated-JPG/CT/BraTSPath_CT_0180766.jpg,CT
